instant,dteday,mnth,casual,registered,cnt
1,2011-01-01,1,331,654,985
2,2011-01-02,1,131,670,801
3,2011-01-03,1,120,1229,1349
4,2011-01-04,1,108,1454,1562
5,2011-01-05,1,82,1518,1600
6,2011-01-06,1,88,1518,1606
7,2011-01-07,1,148,1362,1510
8,2011-01-08,1,68,891,959
9,2011-01-09,1,54,768,822
10,2011-01-10,1,41,1280,1321
11,2011-01-11,1,43,1220,1263
12,2011-01-12,1,25,1137,1162
13,2011-01-13,1,38,1368,1406
14,2011-01-14,1,54,1367,1421
15,2011-01-15,1,222,1026,1248
16,2011-01-16,1,251,953,1204
17,2011-01-17,1,117,883,1000
18,2011-01-18,1,9,674,683
19,2011-01-19,1,78,1572,1650
20,2011-01-20,1,83,1844,1927
21,2011-01-21,1,75,1468,1543
22,2011-01-22,1,93,888,981
23,2011-01-23,1,150,836,986
24,2011-01-24,1,86,1330,1416
25,2011-01-25,1,186,1799,1985
26,2011-01-26,1,34,472,506
27,2011-01-27,1,15,416,431
28,2011-01-28,1,38,1129,1167
29,2011-01-29,1,123,975,1098
30,2011-01-30,1,140,956,1096
31,2011-01-31,1,42,1459,1501
32,2011-02-01,2,47,1313,1360
33,2011-02-02,2,72,1454,1526
34,2011-02-03,2,61,1489,1550
35,2011-02-04,2,88,1620,1708
36,2011-02-05,2,100,905,1005
37,2011-02-06,2,354,1269,1623
38,2011-02-07,2,120,1592,1712
39,2011-02-08,2,64,1466,1530
40,2011-02-09,2,53,1552,1605
41,2011-02-10,2,47,1491,1538
42,2011-02-11,2,149,1597,1746
43,2011-02-12,2,288,1184,1472
44,2011-02-13,2,397,1192,1589
45,2011-02-14,2,208,1705,1913
46,2011-02-15,2,140,1675,1815
47,2011-02-16,2,218,1897,2115
48,2011-02-17,2,259,2216,2475
49,2011-02-18,2,579,2348,2927
50,2011-02-19,2,532,1103,1635
51,2011-02-20,2,639,1173,1812
52,2011-02-21,2,195,912,1107
53,2011-02-22,2,74,1376,1450
54,2011-02-23,2,139,1778,1917
55,2011-02-24,2,100,1707,1807
56,2011-02-25,2,120,1341,1461
57,2011-02-26,2,424,1545,1969
58,2011-02-27,2,694,1708,2402
59,2011-02-28,2,81,1365,1446
60,2011-03-01,3,137,1714,1851
61,2011-03-02,3,231,1903,2134
62,2011-03-03,3,123,1562,1685
63,2011-03-04,3,214,1730,1944
64,2011-03-05,3,640,1437,2077
65,2011-03-06,3,114,491,605
66,2011-03-07,3,244,1628,1872
67,2011-03-08,3,316,1817,2133
68,2011-03-09,3,191,1700,1891
69,2011-03-10,3,46,577,623
70,2011-03-11,3,247,1730,1977
71,2011-03-12,3,724,1408,2132
72,2011-03-13,3,982,1435,2417
73,2011-03-14,3,359,1687,2046
74,2011-03-15,3,289,1767,2056
75,2011-03-16,3,321,1871,2192
76,2011-03-17,3,424,2320,2744
77,2011-03-18,3,884,2355,3239
78,2011-03-19,3,1424,1693,3117
79,2011-03-20,3,1047,1424,2471
80,2011-03-21,3,401,1676,2077
81,2011-03-22,3,460,2243,2703
82,2011-03-23,3,203,1918,2121
83,2011-03-24,3,166,1699,1865
84,2011-03-25,3,300,1910,2210
85,2011-03-26,3,981,1515,2496
86,2011-03-27,3,472,1221,1693
87,2011-03-28,3,222,1806,2028
88,2011-03-29,3,317,2108,2425
89,2011-03-30,3,168,1368,1536
90,2011-03-31,3,179,1506,1685
91,2011-04-01,4,307,1920,2227
92,2011-04-02,4,898,1354,2252
93,2011-04-03,4,1651,1598,3249
94,2011-04-04,4,734,2381,3115
95,2011-04-05,4,167,1628,1795
96,2011-04-06,4,413,2395,2808
97,2011-04-07,4,571,2570,3141
98,2011-04-08,4,172,1299,1471
99,2011-04-09,4,879,1576,2455
100,2011-04-10,4,1188,1707,2895
101,2011-04-11,4,855,2493,3348
102,2011-04-12,4,257,1777,2034
103,2011-04-13,4,209,1953,2162
104,2011-04-14,4,529,2738,3267
105,2011-04-15,4,642,2484,3126
106,2011-04-16,4,121,674,795
107,2011-04-17,4,1558,2186,3744
108,2011-04-18,4,669,2760,3429
109,2011-04-19,4,409,2795,3204
110,2011-04-20,4,613,3331,3944
111,2011-04-21,4,745,3444,4189
112,2011-04-22,4,177,1506,1683
113,2011-04-23,4,1462,2574,4036
114,2011-04-24,4,1710,2481,4191
115,2011-04-25,4,773,3300,4073
116,2011-04-26,4,678,3722,4400
117,2011-04-27,4,547,3325,3872
118,2011-04-28,4,569,3489,4058
119,2011-04-29,4,878,3717,4595
120,2011-04-30,4,1965,3347,5312
121,2011-05-01,5,1138,2213,3351
122,2011-05-02,5,847,3554,4401
123,2011-05-03,5,603,3848,4451
124,2011-05-04,5,255,2378,2633
125,2011-05-05,5,614,3819,4433
126,2011-05-06,5,894,3714,4608
127,2011-05-07,5,1612,3102,4714
128,2011-05-08,5,1401,2932,4333
129,2011-05-09,5,664,3698,4362
130,2011-05-10,5,694,4109,4803
131,2011-05-11,5,550,3632,4182
132,2011-05-12,5,695,4169,4864
133,2011-05-13,5,692,3413,4105
134,2011-05-14,5,902,2507,3409
135,2011-05-15,5,1582,2971,4553
136,2011-05-16,5,773,3185,3958
137,2011-05-17,5,678,3445,4123
138,2011-05-18,5,536,3319,3855
139,2011-05-19,5,735,3840,4575
140,2011-05-20,5,909,4008,4917
141,2011-05-21,5,2258,3547,5805
142,2011-05-22,5,1576,3084,4660
143,2011-05-23,5,836,3438,4274
144,2011-05-24,5,659,3833,4492
145,2011-05-25,5,740,4238,4978
146,2011-05-26,5,758,3919,4677
147,2011-05-27,5,871,3808,4679
148,2011-05-28,5,2001,2757,4758
149,2011-05-29,5,2355,2433,4788
150,2011-05-30,5,1549,2549,4098
151,2011-05-31,5,673,3309,3982
152,2011-06-01,6,513,3461,3974
153,2011-06-02,6,736,4232,4968
154,2011-06-03,6,898,4414,5312
155,2011-06-04,6,1869,3473,5342
156,2011-06-05,6,1685,3221,4906
157,2011-06-06,6,673,3875,4548
158,2011-06-07,6,763,4070,4833
159,2011-06-08,6,676,3725,4401
160,2011-06-09,6,563,3352,3915
161,2011-06-10,6,815,3771,4586
162,2011-06-11,6,1729,3237,4966
163,2011-06-12,6,1467,2993,4460
164,2011-06-13,6,863,4157,5020
165,2011-06-14,6,727,4164,4891
166,2011-06-15,6,769,4411,5180
167,2011-06-16,6,545,3222,3767
168,2011-06-17,6,863,3981,4844
169,2011-06-18,6,1807,3312,5119
170,2011-06-19,6,1639,3105,4744
171,2011-06-20,6,699,3311,4010
172,2011-06-21,6,774,4061,4835
173,2011-06-22,6,661,3846,4507
174,2011-06-23,6,746,4044,4790
175,2011-06-24,6,969,4022,4991
176,2011-06-25,6,1782,3420,5202
177,2011-06-26,6,1920,3385,5305
178,2011-06-27,6,854,3854,4708
179,2011-06-28,6,732,3916,4648
180,2011-06-29,6,848,4377,5225
181,2011-06-30,6,1027,4488,5515
182,2011-07-01,7,1246,4116,5362
183,2011-07-02,7,2204,2915,5119
184,2011-07-03,7,2282,2367,4649
185,2011-07-04,7,3065,2978,6043
186,2011-07-05,7,1031,3634,4665
187,2011-07-06,7,784,3845,4629
188,2011-07-07,7,754,3838,4592
189,2011-07-08,7,692,3348,4040
190,2011-07-09,7,1988,3348,5336
191,2011-07-10,7,1743,3138,4881
192,2011-07-11,7,723,3363,4086
193,2011-07-12,7,662,3596,4258
194,2011-07-13,7,748,3594,4342
195,2011-07-14,7,888,4196,5084
196,2011-07-15,7,1318,4220,5538
197,2011-07-16,7,2418,3505,5923
198,2011-07-17,7,2006,3296,5302
199,2011-07-18,7,841,3617,4458
200,2011-07-19,7,752,3789,4541
201,2011-07-20,7,644,3688,4332
202,2011-07-21,7,632,3152,3784
203,2011-07-22,7,562,2825,3387
204,2011-07-23,7,987,2298,3285
205,2011-07-24,7,1050,2556,3606
206,2011-07-25,7,568,3272,3840
207,2011-07-26,7,750,3840,4590
208,2011-07-27,7,755,3901,4656
209,2011-07-28,7,606,3784,4390
210,2011-07-29,7,670,3176,3846
211,2011-07-30,7,1559,2916,4475
212,2011-07-31,7,1524,2778,4302
213,2011-08-01,8,729,3537,4266
214,2011-08-02,8,801,4044,4845
215,2011-08-03,8,467,3107,3574
216,2011-08-04,8,799,3777,4576
217,2011-08-05,8,1023,3843,4866
218,2011-08-06,8,1521,2773,4294
219,2011-08-07,8,1298,2487,3785
220,2011-08-08,8,846,3480,4326
221,2011-08-09,8,907,3695,4602
222,2011-08-10,8,884,3896,4780
223,2011-08-11,8,812,3980,4792
224,2011-08-12,8,1051,3854,4905
225,2011-08-13,8,1504,2646,4150
226,2011-08-14,8,1338,2482,3820
227,2011-08-15,8,775,3563,4338
228,2011-08-16,8,721,4004,4725
229,2011-08-17,8,668,4026,4694
230,2011-08-18,8,639,3166,3805
231,2011-08-19,8,797,3356,4153
232,2011-08-20,8,1914,3277,5191
233,2011-08-21,8,1249,2624,3873
234,2011-08-22,8,833,3925,4758
235,2011-08-23,8,1281,4614,5895
236,2011-08-24,8,949,4181,5130
237,2011-08-25,8,435,3107,3542
238,2011-08-26,8,768,3893,4661
239,2011-08-27,8,226,889,1115
240,2011-08-28,8,1415,2919,4334
241,2011-08-29,8,729,3905,4634
242,2011-08-30,8,775,4429,5204
243,2011-08-31,8,688,4370,5058
244,2011-09-01,9,783,4332,5115
245,2011-09-02,9,875,3852,4727
246,2011-09-03,9,1935,2549,4484
247,2011-09-04,9,2521,2419,4940
248,2011-09-05,9,1236,2115,3351
249,2011-09-06,9,204,2506,2710
250,2011-09-07,9,118,1878,1996
251,2011-09-08,9,153,1689,1842
252,2011-09-09,9,417,3127,3544
253,2011-09-10,9,1750,3595,5345
254,2011-09-11,9,1633,3413,5046
255,2011-09-12,9,690,4023,4713
256,2011-09-13,9,701,4062,4763
257,2011-09-14,9,647,4138,4785
258,2011-09-15,9,428,3231,3659
259,2011-09-16,9,742,4018,4760
260,2011-09-17,9,1434,3077,4511
261,2011-09-18,9,1353,2921,4274
262,2011-09-19,9,691,3848,4539
263,2011-09-20,9,438,3203,3641
264,2011-09-21,9,539,3813,4352
265,2011-09-22,9,555,4240,4795
266,2011-09-23,9,258,2137,2395
267,2011-09-24,9,1776,3647,5423
268,2011-09-25,9,1544,3466,5010
269,2011-09-26,9,684,3946,4630
270,2011-09-27,9,477,3643,4120
271,2011-09-28,9,480,3427,3907
272,2011-09-29,9,653,4186,4839
273,2011-09-30,9,830,4372,5202
274,2011-10-01,10,480,1949,2429
275,2011-10-02,10,616,2302,2918
276,2011-10-03,10,330,3240,3570
277,2011-10-04,10,486,3970,4456
278,2011-10-05,10,559,4267,4826
279,2011-10-06,10,639,4126,4765
280,2011-10-07,10,949,4036,4985
281,2011-10-08,10,2235,3174,5409
282,2011-10-09,10,2397,3114,5511
283,2011-10-10,10,1514,3603,5117
284,2011-10-11,10,667,3896,4563
285,2011-10-12,10,217,2199,2416
286,2011-10-13,10,290,2623,2913
287,2011-10-14,10,529,3115,3644
288,2011-10-15,10,1899,3318,5217
289,2011-10-16,10,1748,3293,5041
290,2011-10-17,10,713,3857,4570
291,2011-10-18,10,637,4111,4748
292,2011-10-19,10,254,2170,2424
293,2011-10-20,10,471,3724,4195
294,2011-10-21,10,676,3628,4304
295,2011-10-22,10,1499,2809,4308
296,2011-10-23,10,1619,2762,4381
297,2011-10-24,10,699,3488,4187
298,2011-10-25,10,695,3992,4687
299,2011-10-26,10,404,3490,3894
300,2011-10-27,10,240,2419,2659
301,2011-10-28,10,456,3291,3747
302,2011-10-29,10,57,570,627
303,2011-10-30,10,885,2446,3331
304,2011-10-31,10,362,3307,3669
305,2011-11-01,11,410,3658,4068
306,2011-11-02,11,370,3816,4186
307,2011-11-03,11,318,3656,3974
308,2011-11-04,11,470,3576,4046
309,2011-11-05,11,1156,2770,3926
310,2011-11-06,11,952,2697,3649
311,2011-11-07,11,373,3662,4035
312,2011-11-08,11,376,3829,4205
313,2011-11-09,11,305,3804,4109
314,2011-11-10,11,190,2743,2933
315,2011-11-11,11,440,2928,3368
316,2011-11-12,11,1275,2792,4067
317,2011-11-13,11,1004,2713,3717
318,2011-11-14,11,595,3891,4486
319,2011-11-15,11,449,3746,4195
320,2011-11-16,11,145,1672,1817
321,2011-11-17,11,139,2914,3053
322,2011-11-18,11,245,3147,3392
323,2011-11-19,11,943,2720,3663
324,2011-11-20,11,787,2733,3520
325,2011-11-21,11,220,2545,2765
326,2011-11-22,11,69,1538,1607
327,2011-11-23,11,112,2454,2566
328,2011-11-24,11,560,935,1495
329,2011-11-25,11,1095,1697,2792
330,2011-11-26,11,1249,1819,3068
331,2011-11-27,11,810,2261,3071
332,2011-11-28,11,253,3614,3867
333,2011-11-29,11,96,2818,2914
334,2011-11-30,11,188,3425,3613
335,2011-12-01,12,182,3545,3727
336,2011-12-02,12,268,3672,3940
337,2011-12-03,12,706,2908,3614
338,2011-12-04,12,634,2851,3485
339,2011-12-05,12,233,3578,3811
340,2011-12-06,12,126,2468,2594
