instant,dteday,mnth,cnt
1,1/1/2011,1,985
2,1/2/2011,1,801
3,1/3/2011,1,1349
4,1/4/2011,1,1562
5,1/5/2011,1,1600
6,1/6/2011,1,1606
7,1/7/2011,1,1510
8,1/8/2011,1,959
9,1/9/2011,1,822
10,1/10/2011,1,1321
11,1/11/2011,1,1263
12,1/12/2011,1,1162
13,1/13/2011,1,1406
14,1/14/2011,1,1421
15,1/15/2011,1,1248
16,1/16/2011,1,1204
17,1/17/2011,1,1000
18,1/18/2011,1,683
19,1/19/2011,1,1650
20,1/20/2011,1,1927
21,1/21/2011,1,1543
22,1/22/2011,1,981
23,1/23/2011,1,986
24,1/24/2011,1,1416
25,1/25/2011,1,1985
26,1/26/2011,1,506
27,1/27/2011,1,431
28,1/28/2011,1,1167
29,1/29/2011,1,1098
30,1/30/2011,1,1096
31,1/31/2011,1,1501
32,2/1/2011,2,1360
33,2/2/2011,2,1526
34,2/3/2011,2,1550
35,2/4/2011,2,1708
36,2/5/2011,2,1005
37,2/6/2011,2,1623
38,2/7/2011,2,1712
39,2/8/2011,2,1530
40,2/9/2011,2,1605
41,2/10/2011,2,1538
42,2/11/2011,2,1746
43,2/12/2011,2,1472
44,2/13/2011,2,1589
45,2/14/2011,2,1913
46,2/15/2011,2,1815
47,2/16/2011,2,2115
48,2/17/2011,2,2475
49,2/18/2011,2,2927
50,2/19/2011,2,1635
51,2/20/2011,2,1812
52,2/21/2011,2,1107
53,2/22/2011,2,1450
54,2/23/2011,2,1917
55,2/24/2011,2,1807
56,2/25/2011,2,1461
57,2/26/2011,2,1969
58,2/27/2011,2,2402
59,2/28/2011,2,1446
60,3/1/2011,3,1851
61,3/2/2011,3,2134
62,3/3/2011,3,1685
63,3/4/2011,3,1944
64,3/5/2011,3,2077
65,3/6/2011,3,605
66,3/7/2011,3,1872
67,3/8/2011,3,2133
68,3/9/2011,3,1891
69,3/10/2011,3,623
70,3/11/2011,3,1977
71,3/12/2011,3,2132
72,3/13/2011,3,2417
73,3/14/2011,3,2046
74,3/15/2011,3,2056
75,3/16/2011,3,2192
76,3/17/2011,3,2744
77,3/18/2011,3,3239
78,3/19/2011,3,3117
79,3/20/2011,3,2471
80,3/21/2011,3,2077
81,3/22/2011,3,2703
82,3/23/2011,3,2121
83,3/24/2011,3,1865
84,3/25/2011,3,2210
85,3/26/2011,3,2496
86,3/27/2011,3,1693
87,3/28/2011,3,2028
88,3/29/2011,3,2425
89,3/30/2011,3,1536
90,3/31/2011,3,1685
91,4/1/2011,4,2227
92,4/2/2011,4,2252
93,4/3/2011,4,3249
94,4/4/2011,4,3115
95,4/5/2011,4,1795
96,4/6/2011,4,2808
97,4/7/2011,4,3141
98,4/8/2011,4,1471
99,4/9/2011,4,2455
100,4/10/2011,4,2895
101,4/11/2011,4,3348
102,4/12/2011,4,2034
103,4/13/2011,4,2162
104,4/14/2011,4,3267
105,4/15/2011,4,3126
106,4/16/2011,4,795
107,4/17/2011,4,3744
108,4/18/2011,4,3429
109,4/19/2011,4,3204
110,4/20/2011,4,3944
111,4/21/2011,4,4189
112,4/22/2011,4,1683
113,4/23/2011,4,4036
114,4/24/2011,4,4191
115,4/25/2011,4,4073
116,4/26/2011,4,4400
117,4/27/2011,4,3872
118,4/28/2011,4,4058
119,4/29/2011,4,4595
120,4/30/2011,4,5312
121,5/1/2011,5,3351
122,5/2/2011,5,4401
123,5/3/2011,5,4451
124,5/4/2011,5,2633
125,5/5/2011,5,4433
126,5/6/2011,5,4608
127,5/7/2011,5,4714
128,5/8/2011,5,4333
129,5/9/2011,5,4362
130,5/10/2011,5,4803
131,5/11/2011,5,4182
132,5/12/2011,5,4864
133,5/13/2011,5,4105
134,5/14/2011,5,3409
135,5/15/2011,5,4553
136,5/16/2011,5,3958
137,5/17/2011,5,4123
138,5/18/2011,5,3855
139,5/19/2011,5,4575
