instant,dteday,mnth,casual,registered
1,1/1/2011,1,331,654
2,1/2/2011,1,131,670
3,1/3/2011,1,120,1229
4,1/4/2011,1,108,1454
5,1/5/2011,1,82,1518
6,1/6/2011,1,88,1518
7,1/7/2011,1,148,1362
8,1/8/2011,1,68,891
9,1/9/2011,1,54,768
10,1/10/2011,1,41,1280
11,1/11/2011,1,43,1220
12,1/12/2011,1,25,1137
13,1/13/2011,1,38,1368
14,1/14/2011,1,54,1367
15,1/15/2011,1,222,1026
16,1/16/2011,1,251,953
17,1/17/2011,1,117,883
18,1/18/2011,1,9,674
19,1/19/2011,1,78,1572
20,1/20/2011,1,83,1844
21,1/21/2011,1,75,1468
22,1/22/2011,1,93,888
23,1/23/2011,1,150,836
24,1/24/2011,1,86,1330
25,1/25/2011,1,186,1799
26,1/26/2011,1,34,472
27,1/27/2011,1,15,416
28,1/28/2011,1,38,1129
29,1/29/2011,1,123,975
30,1/30/2011,1,140,956
31,1/31/2011,1,42,1459
32,2/1/2011,2,47,1313
33,2/2/2011,2,72,1454
34,2/3/2011,2,61,1489
35,2/4/2011,2,88,1620
36,2/5/2011,2,100,905
37,2/6/2011,2,354,1269
38,2/7/2011,2,120,1592
39,2/8/2011,2,64,1466
40,2/9/2011,2,53,1552
41,2/10/2011,2,47,1491
42,2/11/2011,2,149,1597
43,2/12/2011,2,288,1184
44,2/13/2011,2,397,1192
45,2/14/2011,2,208,1705
46,2/15/2011,2,140,1675
47,2/16/2011,2,218,1897
48,2/17/2011,2,259,2216
49,2/18/2011,2,579,2348
50,2/19/2011,2,532,1103
51,2/20/2011,2,639,1173
52,2/21/2011,2,195,912
53,2/22/2011,2,74,1376
54,2/23/2011,2,139,1778
55,2/24/2011,2,100,1707
56,2/25/2011,2,120,1341
57,2/26/2011,2,424,1545
58,2/27/2011,2,694,1708
59,2/28/2011,2,81,1365
60,3/1/2011,3,137,1714
61,3/2/2011,3,231,1903
62,3/3/2011,3,123,1562
63,3/4/2011,3,214,1730
64,3/5/2011,3,640,1437
65,3/6/2011,3,114,491
66,3/7/2011,3,244,1628
67,3/8/2011,3,316,1817
68,3/9/2011,3,191,1700
69,3/10/2011,3,46,577
70,3/11/2011,3,247,1730
71,3/12/2011,3,724,1408
72,3/13/2011,3,982,1435
73,3/14/2011,3,359,1687
74,3/15/2011,3,289,1767
75,3/16/2011,3,321,1871
76,3/17/2011,3,424,2320
77,3/18/2011,3,884,2355
78,3/19/2011,3,1424,1693
79,3/20/2011,3,1047,1424
80,3/21/2011,3,401,1676
81,3/22/2011,3,460,2243
82,3/23/2011,3,203,1918
83,3/24/2011,3,166,1699
84,3/25/2011,3,300,1910
85,3/26/2011,3,981,1515
86,3/27/2011,3,472,1221
87,3/28/2011,3,222,1806
88,3/29/2011,3,317,2108
89,3/30/2011,3,168,1368
90,3/31/2011,3,179,1506
91,4/1/2011,4,307,1920
92,4/2/2011,4,898,1354
93,4/3/2011,4,1651,1598
94,4/4/2011,4,734,2381
95,4/5/2011,4,167,1628
96,4/6/2011,4,413,2395
97,4/7/2011,4,571,2570
98,4/8/2011,4,172,1299
99,4/9/2011,4,879,1576
100,4/10/2011,4,1188,1707
101,4/11/2011,4,855,2493
102,4/12/2011,4,257,1777
103,4/13/2011,4,209,1953
104,4/14/2011,4,529,2738
105,4/15/2011,4,642,2484
106,4/16/2011,4,121,674
107,4/17/2011,4,1558,2186
108,4/18/2011,4,669,2760
109,4/19/2011,4,409,2795
110,4/20/2011,4,613,3331
111,4/21/2011,4,745,3444
112,4/22/2011,4,177,1506
113,4/23/2011,4,1462,2574
114,4/24/2011,4,1710,2481
115,4/25/2011,4,773,3300
116,4/26/2011,4,678,3722
117,4/27/2011,4,547,3325
118,4/28/2011,4,569,3489
119,4/29/2011,4,878,3717
120,4/30/2011,4,1965,3347
121,5/1/2011,5,1138,2213
122,5/2/2011,5,847,3554
123,5/3/2011,5,603,3848
124,5/4/2011,5,255,2378
125,5/5/2011,5,614,3819
126,5/6/2011,5,894,3714
127,5/7/2011,5,1612,3102
128,5/8/2011,5,1401,2932
129,5/9/2011,5,664,3698
130,5/10/2011,5,694,4109
131,5/11/2011,5,550,3632
132,5/12/2011,5,695,4169
133,5/13/2011,5,692,3413
134,5/14/2011,5,902,2507
135,5/15/2011,5,1582,2971
136,5/16/2011,5,773,3185
137,5/17/2011,5,678,3445
138,5/18/2011,5,536,3319
139,5/19/2011,5,735,3840
140,5/20/2011,5,909,4008
141,5/21/2011,5,2258,3547
142,5/22/2011,5,1576,3084
143,5/23/2011,5,836,3438
144,5/24/2011,5,659,3833
145,5/25/2011,5,740,4238
146,5/26/2011,5,758,3919
147,5/27/2011,5,871,3808
148,5/28/2011,5,2001,2757
149,5/29/2011,5,2355,2433
150,5/30/2011,5,1549,2549
151,5/31/2011,5,673,3309
152,6/1/2011,6,513,3461
153,6/2/2011,6,736,4232
154,6/3/2011,6,898,4414
155,6/4/2011,6,1869,3473
156,6/5/2011,6,1685,3221
157,6/6/2011,6,673,3875
158,6/7/2011,6,763,4070
159,6/8/2011,6,676,3725
160,6/9/2011,6,563,3352
161,6/10/2011,6,815,3771
162,6/11/2011,6,1729,3237
163,6/12/2011,6,1467,2993
164,6/13/2011,6,863,4157
165,6/14/2011,6,727,4164
166,6/15/2011,6,769,4411
167,6/16/2011,6,545,3222
168,6/17/2011,6,863,3981
169,6/18/2011,6,1807,3312
170,6/19/2011,6,1639,3105
171,6/20/2011,6,699,3311
172,6/21/2011,6,774,4061
173,6/22/2011,6,661,3846
174,6/23/2011,6,746,4044
175,6/24/2011,6,969,4022
176,6/25/2011,6,1782,3420
177,6/26/2011,6,1920,3385
178,6/27/2011,6,854,3854
179,6/28/2011,6,732,3916
180,6/29/2011,6,848,4377
181,6/30/2011,6,1027,4488
182,7/1/2011,7,1246,4116
183,7/2/2011,7,2204,2915
184,7/3/2011,7,2282,2367
185,7/4/2011,7,3065,2978
186,7/5/2011,7,1031,3634
187,7/6/2011,7,784,3845
188,7/7/2011,7,754,3838
189,7/8/2011,7,692,3348
190,7/9/2011,7,1988,3348
191,7/10/2011,7,1743,3138
192,7/11/2011,7,723,3363
193,7/12/2011,7,662,3596
194,7/13/2011,7,748,3594
195,7/14/2011,7,888,4196
196,7/15/2011,7,1318,4220
197,7/16/2011,7,2418,3505
198,7/17/2011,7,2006,3296
199,7/18/2011,7,841,3617
200,7/19/2011,7,752,3789
201,7/20/2011,7,644,3688
202,7/21/2011,7,632,3152
203,7/22/2011,7,562,2825
204,7/23/2011,7,987,2298
205,7/24/2011,7,1050,2556
206,7/25/2011,7,568,3272
207,7/26/2011,7,750,3840
208,7/27/2011,7,755,3901
209,7/28/2011,7,606,3784
210,7/29/2011,7,670,3176
211,7/30/2011,7,1559,2916
212,7/31/2011,7,1524,2778
213,8/1/2011,8,729,3537
214,8/2/2011,8,801,4044
215,8/3/2011,8,467,3107
216,8/4/2011,8,799,3777
217,8/5/2011,8,1023,3843
218,8/6/2011,8,1521,2773
219,8/7/2011,8,1298,2487
220,8/8/2011,8,846,3480
221,8/9/2011,8,907,3695
222,8/10/2011,8,884,3896
223,8/11/2011,8,812,3980
224,8/12/2011,8,1051,3854
225,8/13/2011,8,1504,2646
226,8/14/2011,8,1338,2482
227,8/15/2011,8,775,3563
228,8/16/2011,8,721,4004
229,8/17/2011,8,668,4026
230,8/18/2011,8,639,3166
231,8/19/2011,8,797,3356
232,8/20/2011,8,1914,3277
233,8/21/2011,8,1249,2624
234,8/22/2011,8,833,3925
235,8/23/2011,8,1281,4614
236,8/24/2011,8,949,4181
237,8/25/2011,8,435,3107
238,8/26/2011,8,768,3893
239,8/27/2011,8,226,889
240,8/28/2011,8,1415,2919
241,8/29/2011,8,729,3905
242,8/30/2011,8,775,4429
243,8/31/2011,8,688,4370
244,9/1/2011,9,783,4332
245,9/2/2011,9,875,3852
246,9/3/2011,9,1935,2549
247,9/4/2011,9,2521,2419
248,9/5/2011,9,1236,2115
249,9/6/2011,9,204,2506
250,9/7/2011,9,118,1878
251,9/8/2011,9,153,1689
252,9/9/2011,9,417,3127
253,9/10/2011,9,1750,3595
254,9/11/2011,9,1633,3413
255,9/12/2011,9,690,4023
256,9/13/2011,9,701,4062
257,9/14/2011,9,647,4138
258,9/15/2011,9,428,3231
259,9/16/2011,9,742,4018
260,9/17/2011,9,1434,3077
261,9/18/2011,9,1353,2921
262,9/19/2011,9,691,3848
263,9/20/2011,9,438,3203
264,9/21/2011,9,539,3813
265,9/22/2011,9,555,4240
266,9/23/2011,9,258,2137
267,9/24/2011,9,1776,3647
268,9/25/2011,9,1544,3466
269,9/26/2011,9,684,3946
270,9/27/2011,9,477,3643
271,9/28/2011,9,480,3427
272,9/29/2011,9,653,4186
273,9/30/2011,9,830,4372
274,10/1/2011,10,480,1949
275,10/2/2011,10,616,2302
276,10/3/2011,10,330,3240
277,10/4/2011,10,486,3970
278,10/5/2011,10,559,4267
279,10/6/2011,10,639,4126
280,10/7/2011,10,949,4036
281,10/8/2011,10,2235,3174
282,10/9/2011,10,2397,3114
283,10/10/2011,10,1514,3603
284,10/11/2011,10,667,3896
285,10/12/2011,10,217,2199
286,10/13/2011,10,290,2623
287,10/14/2011,10,529,3115
288,10/15/2011,10,1899,3318
289,10/16/2011,10,1748,3293
290,10/17/2011,10,713,3857
291,10/18/2011,10,637,4111
292,10/19/2011,10,254,2170
293,10/20/2011,10,471,3724
294,10/21/2011,10,676,3628
295,10/22/2011,10,1499,2809
296,10/23/2011,10,1619,2762
297,10/24/2011,10,699,3488
298,10/25/2011,10,695,3992
299,10/26/2011,10,404,3490
300,10/27/2011,10,240,2419
301,10/28/2011,10,456,3291
302,10/29/2011,10,57,570
303,10/30/2011,10,885,2446
304,10/31/2011,10,362,3307
305,11/1/2011,11,410,3658
306,11/2/2011,11,370,3816
307,11/3/2011,11,318,3656
308,11/4/2011,11,470,3576
309,11/5/2011,11,1156,2770
310,11/6/2011,11,952,2697
311,11/7/2011,11,373,3662
312,11/8/2011,11,376,3829
313,11/9/2011,11,305,3804
314,11/10/2011,11,190,2743
315,11/11/2011,11,440,2928
316,11/12/2011,11,1275,2792
317,11/13/2011,11,1004,2713
318,11/14/2011,11,595,3891
319,11/15/2011,11,449,3746
320,11/16/2011,11,145,1672
321,11/17/2011,11,139,2914
322,11/18/2011,11,245,3147
323,11/19/2011,11,943,2720
324,11/20/2011,11,787,2733
325,11/21/2011,11,220,2545
326,11/22/2011,11,69,1538
327,11/23/2011,11,112,2454
328,11/24/2011,11,560,935
329,11/25/2011,11,1095,1697
330,11/26/2011,11,1249,1819
331,11/27/2011,11,810,2261
332,11/28/2011,11,253,3614
333,11/29/2011,11,96,2818
334,11/30/2011,11,188,3425
335,12/1/2011,12,182,3545
336,12/2/2011,12,268,3672
337,12/3/2011,12,706,2908
338,12/4/2011,12,634,2851
339,12/5/2011,12,233,3578
340,12/6/2011,12,126,2468
341,12/7/2011,12,50,655
342,12/8/2011,12,150,3172
343,12/9/2011,12,261,3359
344,12/10/2011,12,502,2688
345,12/11/2011,12,377,2366
346,12/12/2011,12,143,3167
347,12/13/2011,12,155,3368
348,12/14/2011,12,178,3562
349,12/15/2011,12,181,3528
350,12/16/2011,12,178,3399
351,12/17/2011,12,275,2464
352,12/18/2011,12,220,2211
353,12/19/2011,12,260,3143
354,12/20/2011,12,216,3534
355,12/21/2011,12,107,2553
356,12/22/2011,12,227,2841
357,12/23/2011,12,163,2046
358,12/24/2011,12,155,856
359,12/25/2011,12,303,451
360,12/26/2011,12,430,887
361,12/27/2011,12,103,1059
362,12/28/2011,12,255,2047
363,12/29/2011,12,254,2169
364,12/30/2011,12,491,2508
365,12/31/2011,12,665,1820
366,1/1/2012,1,686,1608
367,1/2/2012,1,244,1707
368,1/3/2012,1,89,2147
369,1/4/2012,1,95,2273
370,1/5/2012,1,140,3132
371,1/6/2012,1,307,3791
372,1/7/2012,1,1070,3451
373,1/8/2012,1,599,2826
374,1/9/2012,1,106,2270
375,1/10/2012,1,173,3425
376,1/11/2012,1,92,2085
377,1/12/2012,1,269,3828
378,1/13/2012,1,174,3040
379,1/14/2012,1,333,2160
380,1/15/2012,1,284,2027
381,1/16/2012,1,217,2081
382,1/17/2012,1,127,2808
383,1/18/2012,1,109,3267
384,1/19/2012,1,130,3162
385,1/20/2012,1,115,3048
386,1/21/2012,1,67,1234
387,1/22/2012,1,196,1781
388,1/23/2012,1,145,2287
389,1/24/2012,1,439,3900
390,1/25/2012,1,467,3803
391,1/26/2012,1,244,3831
392,1/27/2012,1,269,3187
393,1/28/2012,1,775,3248
394,1/29/2012,1,558,2685
395,1/30/2012,1,126,3498
396,1/31/2012,1,324,4185
397,2/1/2012,2,304,4275
398,2/2/2012,2,190,3571
399,2/3/2012,2,310,3841
400,2/4/2012,2,384,2448
401,2/5/2012,2,318,2629
402,2/6/2012,2,206,3578
403,2/7/2012,2,199,4176
404,2/8/2012,2,109,2693
405,2/9/2012,2,163,3667
406,2/10/2012,2,227,3604
407,2/11/2012,2,192,1977
408,2/12/2012,2,73,1456
409,2/13/2012,2,94,3328
410,2/14/2012,2,135,3787
411,2/15/2012,2,141,4028
